,sTrial_start #,sTrial_end #,Trial_start_description,Trial_end_description,2018_11_27__T163,2018_11_28__T163,2018_11_30__T163,2018_12_03__T163,2018_12_04__T163,2018_12_06__T163,2018_12_07__T163,2018_12_10__T163,2018_12_11__T163,2018_12_13__T163,2018_11_27__T164,2018_11_28__T164,2018_11_29__T164,2018_12_03__T164,2018_12_04__T164,2018_12_05__T164,2018_12_06__T164,2018_12_07__T164,2018_12_10__T164,2018_12_11__T164,2018_12_13__T164,2019_01_23__T169,2019_01_25__T169,2019_01_31__T169,2019_02_01__T169,2019_02_11__T169,2019_02_12__T169,2019_02_13__T169,2019_02_14__T169,2019_02_15__T169,2019_02_19__T169,2019_02_20__T169,2019_02_21__T169,2019_02_22__T169,2019_02_25__T169,2019_02_26__T169,2019_02_27__T169,2019_02_28__T169,2019_03_01__T169,2019_01_22__T170,2019_01_23__T170,2019_01_25__T170,2019_01_30__T170,2019_01_31__T170,2019_02_01__T170,2019_02_04__T170,2019_02_11__T170,2019_02_13__T170,2019_02_14__T170,2019_02_19__T170,2019_02_20__T170,2019_02_21__T170,2019_02_22__T170,2019_01_22__T171,2019_01_23__T171,2019_01_25__T171,2019_01_28__T171,2019_01_30__T171,2019_01_31__T171,2019_02_08__T171,2019_02_11__T171,2019_02_12__T171,2019_02_13__T171,2019_02_14__T171,2019_02_15__T171,2019_02_19__T171,2019_02_20__T171,2019_02_21__T171,2019_02_22__T171,2019_02_25__T171,2019_02_26__T171,2019_02_27__T171,2019_02_28__T171,2019_03_01__T171,2019_03_21__T186,2019_03_22__T186,2019_03_25__T186,2019_03_27__T186,2019_03_28__T186,2019_04_01__T186,2019_04_02__T186,2019_04_03__T186,2019_04_04__T186,2019_04_05__T186,2019_03_21__T187,2019_03_22__T187,2019_03_25__T187,2019_03_28__T187,2019_04_01__T187,2019_04_02__T187,2019_04_03__T187,2019_04_04__T187,2019_04_05__T187,2019_05_16__T202,2019_05_18__T202,2019_05_20__T202,2019_05_21__T202,2019_05_22__T202,2019_05_24__T202,2019_05_25__T202,2019_05_26__T202,2019_05_28__T202,2019_05_29__T202,2019_05_30__T202,total_number_of_licks_state_transi,
8,29,32,ENL1_pre,ENL1Penalty_pre,3,3,1,3,0,0,0,0,0,0,0,0,4,2,1,2,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,2,2,1,0,1,0,2,0,1,0,0,4,2,9,1,0,4,3,0,1,5,0,2,1,0,0,0,0,0,5,1,2,0,3,1,1,0,1,1,1,4,3,1,3,0,1,0,3,0,1,2,2,2,119,1.144
11,33,29,ENL1Penalty,ENL1_pre,0,1,1,2,1,0,1,0,0,0,1,0,2,2,0,0,0,1,5,4,5,0,0,1,1,1,3,1,1,0,0,3,1,1,0,0,0,0,1,0,0,0,1,1,6,10,9,7,15,8,7,18,17,0,0,0,0,5,2,3,3,1,7,7,9,3,2,14,2,1,3,10,6,7,4,1,2,2,4,5,2,7,8,3,21,2,2,4,7,6,3,7,12,1,2,2,4,0,4,2,1,2,0,1,345,3.317
14,39,41,Cue1,Cue1Penalty_pre,10,0,5,2,1,1,0,3,7,5,7,4,8,1,2,2,1,2,3,4,1,0,1,0,0,0,3,1,1,2,2,1,0,3,0,2,0,1,0,8,4,5,6,3,7,16,21,8,22,3,6,14,17,2,1,3,0,2,3,1,0,1,1,1,5,2,3,2,2,1,2,1,2,2,4,10,4,0,2,0,1,2,3,2,10,2,3,1,2,3,1,2,4,6,26,11,11,6,12,8,1,15,4,8,427,4.106
12,33,33,ENL1Penalty,ENL1Penalty,4,1,0,6,1,2,0,1,4,0,3,1,2,2,0,1,0,2,7,7,4,0,0,0,2,0,9,3,3,2,3,2,3,10,1,3,5,4,1,0,2,0,9,8,10,32,44,19,53,9,19,48,47,0,0,0,0,5,1,10,2,4,3,2,7,11,4,9,6,1,9,20,7,12,15,7,3,3,7,15,8,13,19,3,38,12,9,5,5,10,8,6,17,4,22,26,14,8,20,5,7,17,4,9,851,8.183
16,42,42,Cue1Penalty,Cue1Penalty,14,0,8,2,2,1,0,10,8,13,18,12,13,4,4,4,2,5,7,13,5,0,1,0,0,0,11,1,1,3,4,3,0,7,0,5,0,3,0,27,8,8,10,12,17,56,51,23,51,12,19,52,55,4,3,4,0,1,5,0,0,1,1,0,11,2,5,3,5,2,2,2,8,4,12,13,4,1,6,0,5,8,14,6,24,4,6,3,6,9,6,6,10,14,56,21,13,9,17,13,1,29,13,14,991,9.529
40,96,96,FreeRewardPost,FreeRewardPost,61,32,0,12,14,19,32,0,61,0,22,14,17,20,0,7,0,24,19,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,33,29,26,6,30,8,4,9,9,0,0,26,0,0,13,21,0,7,1,7,0,27,20,5,8,10,6,0,0,8,0,0,6,26,0,13,11,0,13,0,0,50,0,58,0,11,18,53,18,0,0,27,0,87,42,114,33,72,33,12,53,3,59,1504,14.462
23,51,51,SelectReward,SelectReward,1,2,4,8,3,6,4,3,4,2,1,2,0,2,5,4,4,7,7,3,1,2,0,31,28,35,14,31,24,28,23,24,30,25,28,34,30,23,23,0,0,0,25,9,15,21,24,21,15,19,31,21,15,0,0,1,0,32,16,20,16,20,25,24,21,17,27,23,28,25,20,22,26,29,25,30,29,16,27,17,11,19,27,12,25,21,32,33,15,14,22,16,20,7,15,6,6,6,13,9,9,9,6,5,1616,15.538
21,48,54,Selection,SelectWrong_pre,77,60,58,60,60,50,68,47,71,48,58,43,60,58,57,47,46,48,48,46,40,52,50,41,41,55,47,51,47,37,50,39,34,42,49,49,46,40,46,68,31,56,63,65,58,95,103,70,79,51,56,67,112,55,60,34,42,39,32,46,25,44,53,50,47,70,52,57,51,58,56,67,53,62,75,64,67,54,58,49,44,49,79,43,113,64,66,52,55,63,46,67,66,57,91,55,85,89,81,81,62,79,59,74,5980,57.500
29,55,55,SelectWrong,SelectWrong,147,86,137,88,115,88,110,82,124,99,249,130,216,204,197,139,108,243,173,275,183,129,79,123,105,102,153,141,103,97,118,82,93,129,91,116,127,106,97,173,67,85,119,153,157,289,426,258,333,174,189,229,376,129,79,52,80,131,51,103,47,113,152,103,111,191,98,123,109,144,127,148,109,122,245,146,136,164,177,238,157,165,248,126,391,180,201,125,161,208,128,193,182,123,282,150,185,162,181,174,124,271,128,207,16092,154.731
9,30,32,ENL1,ENL1Penalty_pre,235,91,182,258,74,39,83,102,168,109,133,139,418,99,111,102,8,263,140,399,85,52,11,21,37,15,71,27,37,21,26,34,28,96,8,36,39,25,27,301,197,139,115,175,232,662,995,556,938,120,219,727,833,64,47,45,53,63,21,80,40,36,73,52,135,82,66,62,89,39,58,154,52,163,209,97,55,26,90,201,168,329,321,65,459,97,97,37,88,156,100,145,249,190,818,649,399,292,599,221,92,446,128,212,18567,178.529
